report_id,report_type,report_end,report_revision,tally_year,snapshot_status,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,last_7_days_count,last_28_days_count,year_to_date_count,validation_status
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,2,12,363,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,auto_theft,Auto Theft,4,34,412,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,burglary,Burglary,2,20,353,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,felony_theft,Felony Theft,2,10,237,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,juvenile_shooting_incidents,*Juv Shooting Incidents,0,0,9,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,juvenile_shooting_victims,*Juv Shooting Victims,0,0,10,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,major_crime_total,TOTAL,13,90,1566,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,misdemeanor_theft,Theft (Misdemeanor),8,56,950,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,1,2,20,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,0,0,1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,robbery,Robbery,2,12,180,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,shooting_incidents,Shooting Incidents,1,1,64,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,shooting_victims,Shooting Victims,1,1,84,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,aggravated_assault,Agg. Assault,0,0,8,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,auto_theft,Auto Theft,0,0,18,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,burglary,Burglary,0,1,11,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,felony_theft,Felony Theft,1,1,13,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,juvenile_shooting_incidents,*Juv Shooting Incidents,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,juvenile_shooting_victims,*Juv Shooting Victims,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,major_crime_total,TOTAL,1,2,66,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,misdemeanor_theft,Theft (Misdemeanor),1,4,48,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,murder,Murder,0,0,2,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,rape,Rape,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,robbery,Robbery,0,0,14,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,shooting_incidents,Shooting Incidents,0,0,3,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,13,district,district_10,District 10,shooting_victims,Shooting Victims,0,0,3,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,aggravated_assault,Agg. Assault,1,2,63,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,auto_theft,Auto Theft,0,4,37,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,burglary,Burglary,1,7,64,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,felony_theft,Felony Theft,1,2,37,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,juvenile_shooting_incidents,*Juv Shooting Incidents,0,0,1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,juvenile_shooting_victims,*Juv Shooting Victims,0,0,2,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,major_crime_total,TOTAL,3,16,231,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,misdemeanor_theft,Theft (Misdemeanor),0,5,126,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,murder,Murder,0,0,2,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,rape,Rape,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,robbery,Robbery,0,1,28,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,shooting_incidents,Shooting Incidents,0,0,8,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,15,district,district_11,District 11,shooting_victims,Shooting Victims,0,0,15,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,aggravated_assault,Agg. Assault,0,0,6,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,auto_theft,Auto Theft,0,0,10,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,burglary,Burglary,0,1,11,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,felony_theft,Felony Theft,0,0,4,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,juvenile_shooting_incidents,*Juv Shooting Incidents,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,juvenile_shooting_victims,*Juv Shooting Victims,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,major_crime_total,TOTAL,0,1,34,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,misdemeanor_theft,Theft (Misdemeanor),1,3,24,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,murder,Murder,0,0,1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,rape,Rape,0,0,0,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,robbery,Robbery,0,0,2,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,shooting_incidents,Shooting Incidents,0,0,1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,5,district,district_12,District 12,shooting_victims,Shooting Victims,0,0,2,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,7,district,district_13,District 13,aggravated_assault,Agg. Assault,0,3,42,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,7,district,district_13,District 13,auto_theft,Auto Theft,0,1,38,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,7,district,district_13,District 13,burglary,Burglary,0,0,34,validated
year-end-compstat-2025-r1,year_end_compstat,2025-12-31,1,2025,year_end_final,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,7,district,district_13,District 13,felony_theft,Felony Theft,0,1,18,validated
