report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,observation_year,comparison_year,comparison_lag_years,value_numeric,value_reported,null_reason,extraction_version,validation_status
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_7_days,count,2025,,,1,1,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_7_days,count,2024,,,1,1,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_7_days,percent_change,2025,2024,1,0.0,0%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_28_days,count,2025,,,2,2,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_28_days,count,2024,,,2,2,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,last_28_days,percent_change,2025,2024,1,0.0,0%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,count,2025,,,20,20,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,count,2024,,,25,25,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2024,1,-20.0,-20%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2023,2,43.0,43%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2022,3,11.0,11%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2021,4,-50.0,-50%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2020,5,-38.0,-38%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,2025,2019,6,-13.0,-13%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_7_days,count,2025,,,0,0,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_7_days,count,2024,,,0,0,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_7_days,percent_change,2025,2024,1,,*,undefined_zero_denominator,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,2025,,,0,0,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,2024,,,1,1,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,last_28_days,percent_change,2025,2024,1,-100.0,-100%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,2025,,,1,1,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,2024,,,3,3,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,2025,2024,1,-67.0,-67%,,wilmington-compstat-v1,validated
year-end-compstat-2025-r1,year_end_compstat,2025-01-01,2025-12-31,1,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,2025,2023,2,-75.0,-75%,,wilmington-compstat-v1,validated
